name,description,gx_media_links,WKT,longitude,latitude
"Ghost Church - Legal LP","https://www.lukova-kostel.cz/<br><br>https://www.facebook.com/groups/630193237595288/permalink/700990070515604/",,"POINT Z (13.1596594 50.0165121 0)",13.1596594,50.0165121
"Kloster","https://www.facebook.com/groups/630193237595288/permalink/764704060810871/",,"POINT Z (6.7612495 49.8578118 0)",6.7612495,49.8578118
"Kirche","https://m.facebook.com/groups/630193237595288?view=permalink&id=637709956843616",,"POINT Z (5.965189 50.922108 0)",5.965189,50.922108
"Kirche - LEGAL LP","https://www.facebook.com/groups/630193237595288/permalink/673991256548819/",,"POINT Z (9.737953 50.120895 0)",9.737953,50.120895
"Mausoleum","https://www.facebook.com/groups/630193237595288/permalink/670407090240569/",,"POINT Z (10.924429 50.18999 0)",10.924429,50.18999
"Kirche","https://www.facebook.com/groups/630193237595288/permalink/747620749185869/",,"POINT Z (4.3216234 50.4118144 0)",4.3216234,50.4118144
"Kirche","https://www.facebook.com/groups/630193237595288/permalink/648258292455449/",,"POINT Z (108.466343 11.943817 0)",108.466343,11.943817
"Kloster","https://www.facebook.com/groups/630193237595288/permalink/673630429918235/               WICHTIG !!!! :  https://www.facebook.com/groups/630193237595288/permalink/761079804506630/",,"POINT Z (8.279177 51.490359 0)",8.279177,51.490359
"Kloster",,,"POINT Z (3.21841666666667 51.2138611111111 0)",3.21841666666667,51.2138611111111
"Friedhof","https://www.facebook.com/groups/630193237595288/permalink/662322514382360/",,"POINT Z (123.740966152425 9.58217065721104 0)",123.740966152425,9.58217065721104
"Kapelle","https://www.facebook.com/groups/630193237595288/permalink/673880526559892/",,"POINT Z (9.4982956 51.9579483 0)",9.4982956,51.9579483
"Kapelle","https://www.facebook.com/groups/630193237595288/permalink/659696864644925/",,"POINT Z (6.5330712 50.3540541 0)",6.5330712,50.3540541
"Kirche","https://www.facebook.com/groups/630193237595288/permalink/671446676803277/",,"POINT Z (7.15748 51.50271 0)",7.15748,51.50271
"Kloster","https://www.facebook.com/groups/630193237595288/permalink/657858781495400/",,"POINT Z (5.3165 50.548442 0)",5.3165,50.548442
"Kirche","https://www.facebook.com/groups/630193237595288/permalink/696355707645707/",,"POINT Z (5.48289 50.60575 0)",5.48289,50.60575
"Kirche","https://www.facebook.com/groups/630193237595288/permalink/657138718234073/",,"POINT Z (4.448897 50.431647 0)",4.448897,50.431647
